aims_uuid : 4CA28C00-B252-409C-A144-D565F4009B24                                                                                                      
# Complex Kohn-Sham eigenvectors for band number        1, k-point number        1, at relative reciprocal-space coordinates:   0.00000000   0.00000000   0.00000000
#
#      Basis function ID                       State number
#    /                   \    	                         1                             2                             3                             4                             5                             6                             7                             8                             9                             10                            11                            12                            13                            14                            15                            16    
#   /                     \   	                  -1.83342466                   -1.82938952                   -1.75399193                   -1.69191741                   -1.66150226                   -1.63822536                   -1.62332715                   -1.61756012                   -1.60198609                   -0.78156542                   -0.25685949                    0.25746702                    0.28478707                    0.29309129                    1.19750350                    1.23713512  
#  /                       \  	                   1.00000000                    1.00000000                    1.00000000                    1.00000000                    1.00000000                    1.00000000                    1.00000000                    1.00000000                    1.00000000                    1.00000000                    0.99984104                    0.00011965                    0.00002456                    0.00001475                    0.00000000                    0.00000000  
# No.  atom   type    n l   m 	    Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]  
   50     3 atomic    2 p   0 	    -0.02646222    0.00000000     -0.04223822    0.00000000      0.00303835    0.00000000     -0.03587455    0.00000000      0.04731986    0.00000000     -0.01495898    0.00000000      0.01372023    0.00000000     -0.00678189    0.00000000      0.00470514    0.00000000     -0.00496840    0.00000000      0.01293906    0.00000000     -0.01148716    0.00000000      0.03430516    0.00000000      0.01889380    0.00000000      0.33606749    0.00000000      0.05757241    0.00000000  
   51     3 atomic    2 p   1 	    -0.00396574    0.00000000      0.00262173    0.00000000     -0.00057877    0.00000000     -0.00373659    0.00000000     -0.00029335    0.00000000     -0.00238545    0.00000000      0.00214862    0.00000000     -0.00242119    0.00000000     -0.00144518    0.00000000     -0.00085506    0.00000000     -0.00195591    0.00000000     -0.00209493    0.00000000      0.00239252    0.00000000      0.00067182    0.00000000      0.00021383    0.00000000      0.00050954    0.00000000  
   52     3 hydro     2 p  -1 	    -0.00072539    0.00000000     -0.00069370    0.00000000     -0.00018606    0.00000000     -0.00084254    0.00000000      0.00093385    0.00000000      0.00033930    0.00000000      0.00002610    0.00000000     -0.00044760    0.00000000      0.00072224    0.00000000     -0.00025038    0.00000000      0.00082629    0.00000000     -0.00055071    0.00000000     -0.00098162    0.00000000     -0.00058355    0.00000000      0.00247486    0.00000000      0.00038811    0.00000000  
   53     3 hydro     2 p   0 	    -0.00057260    0.00000000     -0.00215424    0.00000000     -0.00025627    0.00000000     -0.00059847    0.00000000      0.00158692    0.00000000     -0.00039691    0.00000000      0.00008309    0.00000000      0.00201466    0.00000000      0.00143653    0.00000000     -0.00026636    0.00000000     -0.00026186    0.00000000      0.00024823    0.00000000      0.00158193    0.00000000      0.00132480    0.00000000      0.04411450    0.00000000      0.00742595    0.00000000  
   54     3 hydro     2 p   1 	    -0.00061640    0.00000000      0.00019044    0.00000000     -0.00244639    0.00000000     -0.00022242    0.00000000     -0.00121731    0.00000000     -0.00229171    0.00000000      0.00124724    0.00000000      0.00016440    0.00000000     -0.00288292    0.00000000     -0.00011451    0.00000000     -0.00170782    0.00000000      0.00151318    0.00000000      0.00226167    0.00000000     -0.00255986    0.00000000      0.00015995    0.00000000     -0.00225278    0.00000000  
   55     3 hydro     3 d  -2 	     0.00015242    0.00000000     -0.00002724    0.00000000      0.00020191    0.00000000      0.00032235    0.00000000      0.00012367    0.00000000      0.00025198    0.00000000     -0.00016811    0.00000000      0.00031170    0.00000000      0.00022091    0.00000000     -0.00081911    0.00000000      0.00022619    0.00000000      0.00006404    0.00000000     -0.00037695    0.00000000      0.00008873    0.00000000      0.00020241    0.00000000     -0.00088770    0.00000000  
   56     3 hydro     3 d  -1 	    -0.00127685    0.00000000     -0.00128942    0.00000000      0.00028673    0.00000000     -0.00109894    0.00000000      0.00177313    0.00000000     -0.00054541    0.00000000      0.00017066    0.00000000     -0.00097005    0.00000000     -0.00002166    0.00000000     -0.00328550    0.00000000      0.00076200    0.00000000     -0.00075026    0.00000000      0.00114846    0.00000000      0.00054211    0.00000000      0.00538233    0.00000000     -0.00305367    0.00000000  
   57     3 hydro     3 d   0 	     0.00021413    0.00000000     -0.00075836    0.00000000     -0.00087931    0.00000000     -0.00019256    0.00000000      0.00052410    0.00000000      0.00023790    0.00000000      0.00000602    0.00000000     -0.00045256    0.00000000     -0.00002714    0.00000000      0.00014493    0.00000000      0.00061543    0.00000000     -0.00036064    0.00000000      0.00046701    0.00000000     -0.00011754    0.00000000     -0.00050960    0.00000000      0.00024936    0.00000000  
   58     3 hydro     3 d   1 	     0.00067936    0.00000000     -0.00024206    0.00000000     -0.00052656    0.00000000     -0.00207360    0.00000000     -0.00042525    0.00000000      0.00125630    0.00000000      0.00234100    0.00000000     -0.00102259    0.00000000     -0.00047976    0.00000000      0.01604335    0.00000000     -0.00021718    0.00000000     -0.00003645    0.00000000      0.00167772    0.00000000      0.00055529    0.00000000     -0.00250909    0.00000000      0.01989179    0.00000000  
   59     3 hydro     3 d   2 	     0.00051357    0.00000000      0.00011146    0.00000000     -0.00039753    0.00000000      0.00058879    0.00000000     -0.00040963    0.00000000     -0.00002213    0.00000000     -0.00017457    0.00000000      0.00067775    0.00000000     -0.00003046    0.00000000      0.00027221    0.00000000     -0.00036394    0.00000000      0.00027213    0.00000000     -0.00030051    0.00000000     -0.00033522    0.00000000     -0.00022338    0.00000000      0.00019825    0.00000000  
   60     4 atomic    1 s   0 	    -0.00098382    0.00000000      0.00033552    0.00000000     -0.00102507    0.00000000     -0.00020012    0.00000000      0.00022983    0.00000000      0.00078664    0.00000000      0.00099618    0.00000000      0.00042858    0.00000000     -0.00053557    0.00000000     -0.00001230    0.00000000     -0.00008558    0.00000000     -0.00021555    0.00000000      0.00040025    0.00000000     -0.00088265    0.00000000     -0.00006582    0.00000000     -0.00053523    0.00000000  
   61     4 hydro     3 s   0 	    -0.00567462    0.00000000      0.00226794    0.00000000     -0.00602530    0.00000000     -0.00051730    0.00000000      0.00026550    0.00000000      0.00595359    0.00000000      0.00626540    0.00000000      0.00215067    0.00000000     -0.00352612    0.00000000     -0.00005463    0.00000000     -0.00134360    0.00000000     -0.00147826    0.00000000      0.00282564    0.00000000     -0.00464407    0.00000000     -0.00032008    0.00000000     -0.00234206    0.00000000  
   62     4 atomic    2 s   0 	     0.01487377    0.00000000     -0.00593083    0.00000000      0.01209006    0.00000000      0.00124156    0.00000000     -0.00305030    0.00000000     -0.01553408    0.00000000     -0.01771320    0.00000000     -0.00447223    0.00000000      0.01130465    0.00000000      0.00043348    0.00000000      0.00148445    0.00000000      0.00630838    0.00000000     -0.00665390    0.00000000      0.01310714    0.00000000      0.00128688    0.00000000      0.00172086    0.00000000  
   63     4 atomic    2 p  -1 	     0.00265930    0.00000000      0.00235446    0.00000000      0.00694032    0.00000000      0.00165563    0.00000000      0.00023159    0.00000000     -0.00319696    0.00000000     -0.00393165    0.00000000      0.00009601    0.00000000      0.00242466    0.00000000      0.00004224    0.00000000      0.00183823    0.00000000      0.00115427    0.00000000     -0.00008425    0.00000000      0.00216145    0.00000000     -0.00195571    0.00000000      0.00396471    0.00000000  
   64     4 atomic    2 p   0 	    -0.00892609    0.00000000     -0.01048551    0.00000000      0.01144461    0.00000000     -0.01945071    0.00000000     -0.05079094    0.00000000     -0.03969825    0.00000000     -0.00916590    0.00000000      0.01727006    0.00000000      0.02267579    0.00000000      0.00211950    0.00000000     -0.01208246    0.00000000      0.02681618    0.00000000      0.01241795    0.00000000      0.02192824    0.00000000     -0.05720572    0.00000000      0.34155032    0.00000000  
   65     4 atomic    2 p   1 	    -0.01679163    0.00000000      0.00462085    0.00000000     -0.01502315    0.00000000     -0.00307571    0.00000000     -0.00513445    0.00000000      0.01658533    0.00000000      0.01916541    0.00000000     -0.00156831    0.00000000     -0.01288101    0.00000000     -0.00112094    0.00000000     -0.00868966    0.00000000     -0.00487290    0.00000000      0.01017338    0.00000000     -0.00737984    0.00000000      0.00327396    0.00000000     -0.01656315    0.00000000  
   66     4 hydro     2 p  -1 	     0.00063994    0.00000000      0.00302860    0.00000000      0.00177053    0.00000000     -0.00031588    0.00000000     -0.00166739    0.00000000      0.00201996    0.00000000      0.00011468    0.00000000      0.00037840    0.00000000      0.00246503    0.00000000     -0.00099812    0.00000000      0.00011006    0.00000000     -0.00023523    0.00000000      0.00183812    0.00000000      0.00210915    0.00000000      0.00225812    0.00000000      0.00028224    0.00000000  
   67     4 hydro     2 p   0 	    -0.00255583    0.00000000     -0.00001541    0.00000000     -0.00036471    0.00000000     -0.00182423    0.00000000     -0.00218522    0.00000000     -0.00155497    0.00000000      0.00152782    0.00000000      0.00192337    0.00000000      0.00033556    0.00000000     -0.00000427    0.00000000     -0.00149060    0.00000000      0.00226606    0.00000000      0.00218724    0.00000000      0.00082319    0.00000000     -0.00746289    0.00000000      0.04479978    0.00000000  
   68     4 hydro     2 p   1 	    -0.00025642    0.00000000      0.00034651    0.00000000      0.00158812    0.00000000     -0.00072785    0.00000000      0.00054304    0.00000000      0.00023695    0.00000000      0.00087405    0.00000000     -0.00079834    0.00000000     -0.00047882    0.00000000     -0.00035565    0.00000000      0.00106804    0.00000000     -0.00135580    0.00000000      0.00002903    0.00000000      0.00001574    0.00000000      0.00091455    0.00000000     -0.00185736    0.00000000  
   69     4 hydro     3 d  -2 	     0.00027670    0.00000000      0.00032509    0.00000000      0.00058262    0.00000000      0.00004346    0.00000000     -0.00018774    0.00000000      0.00012954    0.00000000     -0.00012122    0.00000000     -0.00004519    0.00000000      0.00030759    0.00000000      0.00068689    0.00000000      0.00003544    0.00000000      0.00000972    0.00000000     -0.00006114    0.00000000      0.00041947    0.00000000     -0.00076566    0.00000000     -0.00008604    0.00000000  
   70     4 hydro     3 d  -1 	     0.00109028    0.00000000      0.00120105    0.00000000      0.00091956    0.00000000     -0.00224830    0.00000000     -0.00035330    0.00000000      0.00218153    0.00000000      0.00153369    0.00000000     -0.00117272    0.00000000      0.00150440    0.00000000      0.01619648    0.00000000      0.00027607    0.00000000     -0.00044195    0.00000000     -0.00068885    0.00000000      0.00105297    0.00000000     -0.01991757    0.00000000     -0.00242444    0.00000000  
   71     4 hydro     3 d   0 	     0.00050635    0.00000000     -0.00020503    0.00000000     -0.00050587    0.00000000      0.00040877    0.00000000     -0.00112345    0.00000000      0.00021942    0.00000000     -0.00052444    0.00000000     -0.00027026    0.00000000      0.00029719    0.00000000     -0.00003656    0.00000000     -0.00082859    0.00000000      0.00053485    0.00000000      0.00029047    0.00000000      0.00054861    0.00000000      0.00026234    0.00000000     -0.00034106    0.00000000  
   72     4 hydro     3 d   1 	    -0.00001735    0.00000000      0.00068816    0.00000000     -0.00042927    0.00000000     -0.00013878    0.00000000      0.00151378    0.00000000      0.00190387    0.00000000      0.00120962    0.00000000     -0.00059086    0.00000000     -0.00066469    0.00000000      0.00303252    0.00000000      0.00020645    0.00000000     -0.00102799    0.00000000      0.00009441    0.00000000     -0.00072249    0.00000000     -0.00302283    0.00000000     -0.00557308    0.00000000  
   73     4 hydro     3 d   2 	     0.00056980    0.00000000     -0.00043157    0.00000000      0.00018283    0.00000000      0.00017024    0.00000000     -0.00007676    0.00000000     -0.00059902    0.00000000     -0.00066948    0.00000000     -0.00010339    0.00000000      0.00026318    0.00000000     -0.00028397    0.00000000      0.00011021    0.00000000      0.00027532    0.00000000     -0.00042814    0.00000000      0.00017784    0.00000000      0.00032870    0.00000000      0.00022611    0.00000000  
   74     5 atomic    1 s   0 	     0.00075318    0.00000000      0.00049768    0.00000000      0.00064106    0.00000000      0.00122242    0.00000000     -0.00009248    0.00000000      0.00026745    0.00000000     -0.00113526    0.00000000      0.00052220    0.00000000      0.00082039    0.00000000      0.00007250    0.00000000      0.00054375    0.00000000      0.00085246    0.00000000      0.00106631    0.00000000     -0.00047075    0.00000000      0.00025124    0.00000000      0.00023030    0.00000000  
   75     5 hydro     3 s   0 	     0.00514688    0.00000000      0.00293378    0.00000000      0.00395552    0.00000000      0.00787162    0.00000000     -0.00066062    0.00000000      0.00238346    0.00000000     -0.00678498    0.00000000      0.00275728    0.00000000      0.00451990    0.00000000      0.00025536    0.00000000      0.00256244    0.00000000      0.00434673    0.00000000      0.00523122    0.00000000     -0.00265493    0.00000000      0.00106389    0.00000000      0.00111967    0.00000000  
   76     5 atomic    2 s   0 	    -0.01469071    0.00000000     -0.00519131    0.00000000     -0.00749094    0.00000000     -0.02180154    0.00000000      0.00063162    0.00000000     -0.00808957    0.00000000      0.01808581    0.00000000     -0.00670161    0.00000000     -0.01105783    0.00000000     -0.00059983    0.00000000     -0.00748567    0.00000000     -0.01068054    0.00000000     -0.01222466    0.00000000      0.00586861    0.00000000      0.00085337    0.00000000     -0.00141010    0.00000000  
   77     5 atomic    2 p  -1 	     0.02210452    0.00000000      0.01214449    0.00000000      0.01607379    0.00000000      0.02506855    0.00000000     -0.00429978    0.00000000      0.00672257    0.00000000     -0.01944546    0.00000000      0.00983152    0.00000000      0.01142346    0.00000000     -0.00064787    0.00000000      0.00360663    0.00000000      0.00755433    0.00000000      0.00850046    0.00000000     -0.00360780    0.00000000      0.01464469    0.00000000      0.00251648    0.00000000  
   78     5 atomic    2 p   0 	    -0.03593692    0.00000000      0.03575040    0.00000000     -0.00170059    0.00000000     -0.04241603    0.00000000     -0.03417042    0.00000000     -0.01764034    0.00000000      0.01544861    0.00000000     -0.01598467    0.00000000      0.00815408    0.00000000     -0.00351567    0.00000000     -0.01029426    0.00000000     -0.01926161    0.00000000     -0.03298384    0.00000000      0.01287164    0.00000000     -0.33772409    0.00000000     -0.05766772    0.00000000  
   79     5 atomic    2 p   1 	     0.00356087    0.00000000      0.00359198    0.00000000     -0.00041414    0.00000000      0.00409296    0.00000000     -0.00174691    0.00000000      0.00277616    0.00000000     -0.00155262    0.00000000      0.00288221    0.00000000      0.00120048    0.00000000     -0.00013520    0.00000000     -0.00208793    0.00000000      0.00190030    0.00000000      0.00201520    0.00000000     -0.00024057    0.00000000      0.00089470    0.00000000     -0.00002900    0.00000000  
   80     5 hydro     2 p  -1 	     0.00080229    0.00000000     -0.00055234    0.00000000     -0.00041063    0.00000000      0.00087941    0.00000000      0.00038463    0.00000000     -0.00029980    0.00000000     -0.00092342    0.00000000     -0.00032746    0.00000000     -0.00022468    0.00000000     -0.00005845    0.00000000      0.00084206    0.00000000      0.00025837    0.00000000     -0.00097131    0.00000000      0.00048013    0.00000000      0.00191591    0.00000000      0.00066998    0.00000000  
   81     5 hydro     2 p   0 	    -0.00083133    0.00000000      0.00211412    0.00000000      0.00037965    0.00000000     -0.00040817    0.00000000     -0.00163134    0.00000000     -0.00029238    0.00000000     -0.00123539    0.00000000      0.00051095    0.00000000      0.00255548    0.00000000     -0.00020290    0.00000000      0.00036521    0.00000000      0.00011263    0.00000000     -0.00150537    0.00000000      0.00087654    0.00000000     -0.04434768    0.00000000     -0.00733432    0.00000000  
   82     5 hydro     2 p   1 	     0.00066544    0.00000000      0.00031427    0.00000000     -0.00209963    0.00000000      0.00003264    0.00000000     -0.00148189    0.00000000      0.00208218    0.00000000      0.00133679    0.00000000      0.00233393    0.00000000      0.00083073    0.00000000     -0.00006199    0.00000000     -0.00148952    0.00000000     -0.00151004    0.00000000      0.00199380    0.00000000      0.00293441    0.00000000      0.00037194    0.00000000     -0.00280541    0.00000000  
   83     5 hydro     3 d  -2 	     0.00014448    0.00000000      0.00003658    0.00000000     -0.00018233    0.00000000      0.00022983    0.00000000     -0.00020980    0.00000000      0.00030052    0.00000000     -0.00015153    0.00000000      0.00022893    0.00000000      0.00027653    0.00000000     -0.00071204    0.00000000     -0.00024168    0.00000000      0.00015356    0.00000000      0.00032621    0.00000000      0.00010575    0.00000000     -0.00010717    0.00000000      0.00076161    0.00000000  
   84     5 hydro     3 d  -1 	     0.00164387    0.00000000     -0.00093669    0.00000000      0.00032039    0.00000000      0.00145909    0.00000000      0.00142429    0.00000000      0.00075974    0.00000000     -0.00101037    0.00000000      0.00047825    0.00000000      0.00043188    0.00000000      0.00327417    0.00000000      0.00068379    0.00000000      0.00111171    0.00000000      0.00100614    0.00000000     -0.00040528    0.00000000      0.00535884    0.00000000     -0.00301890    0.00000000  
   85     5 hydro     3 d   0 	    -0.00001850    0.00000000      0.00077509    0.00000000      0.00088199    0.00000000     -0.00024874    0.00000000     -0.00037647    0.00000000      0.00004639    0.00000000      0.00052390    0.00000000     -0.00007712    0.00000000     -0.00027171    0.00000000      0.00002907    0.00000000     -0.00056877    0.00000000     -0.00052783    0.00000000     -0.00042956    0.00000000     -0.00019959    0.00000000      0.00046237    0.00000000     -0.00010205    0.00000000  
   86     5 hydro     3 d   1 	    -0.00070380    0.00000000     -0.00028192    0.00000000     -0.00068471    0.00000000      0.00180950    0.00000000     -0.00161563    0.00000000     -0.00129482    0.00000000     -0.00130287    0.00000000      0.00186097    0.00000000     -0.00005570    0.00000000     -0.01619851    0.00000000     -0.00027839    0.00000000      0.00016634    0.00000000      0.00173864    0.00000000     -0.00032996    0.00000000     -0.00260033    0.00000000      0.01979199    0.00000000  
   87     5 hydro     3 d   2 	     0.00057240    0.00000000      0.00000543    0.00000000      0.00036225    0.00000000      0.00070223    0.00000000      0.00015200    0.00000000      0.00005674    0.00000000     -0.00071089    0.00000000      0.00015012    0.00000000      0.00034300    0.00000000      0.00029581    0.00000000      0.00031218    0.00000000      0.00037253    0.00000000      0.00029896    0.00000000     -0.00030596    0.00000000      0.00010624    0.00000000     -0.00022747    0.00000000  
   88     6 atomic    1 s   0 	    -0.00052665    0.00000000      0.00038837    0.00000000      0.00044624    0.00000000     -0.00040498    0.00000000     -0.00164126    0.00000000     -0.00043584    0.00000000      0.00009801    0.00000000     -0.00008456    0.00000000      0.00007859    0.00000000      0.00005118    0.00000000     -0.00121681    0.00000000      0.00055465    0.00000000      0.00018401    0.00000000     -0.00028561    0.00000000      0.00063871    0.00000000     -0.00078554    0.00000000  
